time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.576
2,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.579
3,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.579
4,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.579
5,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.562
6,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.562
7,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.562
8,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.603
9,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.603
10,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.612
11,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.612
12,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.612
13,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.587
14,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.587
15,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.587
16,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.548
17,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.548
18,3.322,0.000,0.000,0.000,0.000,0.000,0.000,25.548
19,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.524
20,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.524
21,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.524
22,3.322,0.000,0.000,0.000,0.000,0.000,0.000,25.572
23,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.572
24,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.572
25,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.564
26,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.564
27,3.322,0.000,0.000,0.000,0.000,0.000,0.000,25.582
28,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.582
29,3.321,0.000,0.000,0.000,0.000,0.000,0.000,25.582
