time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.681
2,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.681
3,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
4,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
5,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.703
6,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.703
7,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.703
8,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
9,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
10,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.723
11,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.723
12,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.723
13,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.721
14,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.721
15,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.721
16,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.699
17,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.699
18,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.699
19,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.761
20,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.761
21,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.761
22,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.712
23,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.712
24,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.712
25,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.730
26,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.730
27,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.735
28,3.221,0.000,0.000,0.000,0.000,0.000,0.000,33.735
29,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.735
30,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.692
31,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.692
32,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.692
33,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
34,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
35,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.706
36,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.669
37,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.669
38,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.669
39,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.693
40,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.693
41,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.693
42,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.684
43,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.684
44,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.684
45,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.684
46,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.684
47,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.649
48,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.649
49,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.649
50,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.655
51,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.655
52,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.655
53,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.659
54,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.659
55,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.659
56,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.643
57,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.643
58,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.643
59,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.713
60,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.713
60,3.222,0.000,0.000,0.000,0.000,0.000,0.000,33.713
61,3.555,1.625,0.000,0.000,0.002,0.000,0.333,33.658
62,3.564,1.625,0.001,0.000,0.003,0.000,0.009,33.658
63,3.575,1.625,0.001,0.000,0.005,0.000,0.011,33.658
64,3.575,1.625,0.002,0.000,0.006,0.000,0.001,33.648
65,3.574,1.625,0.002,0.000,0.008,0.000,-0.001,33.648
66,3.576,1.625,0.003,0.000,0.010,0.000,0.002,33.648
67,3.578,1.625,0.003,0.000,0.011,0.000,0.002,33.655
68,3.577,1.625,0.004,0.000,0.013,0.000,-0.001,33.655
69,3.578,1.625,0.004,0.000,0.015,0.000,0.001,33.655
70,3.581,1.625,0.005,0.000,0.016,0.000,0.002,33.630
71,3.581,1.625,0.005,0.000,0.018,0.000,0.001,33.630
72,3.581,1.625,0.005,0.000,0.019,0.000,0.000,33.630
73,3.582,1.625,0.006,0.000,0.021,0.000,0.001,33.656
74,3.583,1.625,0.006,0.000,0.023,0.000,0.001,33.656
75,3.584,1.625,0.007,0.000,0.024,0.000,0.001,33.656
76,3.585,1.625,0.007,0.000,0.026,0.000,0.001,33.626
77,3.587,1.625,0.008,0.000,0.027,0.000,0.002,33.626
78,3.589,1.625,0.008,0.000,0.029,0.000,0.002,33.626
79,3.590,1.625,0.009,0.000,0.031,0.000,0.000,33.634
80,3.590,1.625,0.009,0.000,0.032,0.000,0.001,33.634
81,3.591,1.625,0.009,0.000,0.034,0.000,0.000,33.611
82,3.592,1.625,0.010,0.000,0.036,0.000,0.001,33.611
83,3.592,1.625,0.010,0.000,0.037,0.000,0.001,33.611
84,3.593,1.625,0.011,0.000,0.039,0.000,0.001,33.607
85,3.594,1.625,0.011,0.000,0.040,0.000,0.001,33.607
86,3.595,1.625,0.012,0.000,0.042,0.000,0.001,33.607
87,3.595,1.625,0.012,0.000,0.044,0.000,0.000,33.607
