time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.490
2,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.490
3,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.465
4,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.465
5,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.465
6,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
7,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
8,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
9,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.478
10,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.478
11,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.478
12,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.512
13,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.512
14,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.512
15,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.465
16,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.465
17,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.487
18,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.487
19,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.487
20,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.473
21,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.473
22,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.473
23,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.505
24,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.505
25,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.505
26,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.475
27,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.475
28,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.475
29,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
30,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
31,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.450
32,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
33,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
34,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
35,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.455
36,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.455
37,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.445
38,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.445
39,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.445
40,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.474
41,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.474
42,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.474
43,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
44,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
45,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.454
46,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.486
47,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.486
48,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.486
49,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.466
50,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.466
51,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.466
52,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.451
53,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.451
54,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.472
55,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.472
56,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.472
57,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.497
58,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.497
59,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.497
60,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.451
60,3.556,0.000,0.000,0.000,0.000,0.000,0.000,24.451
61,3.645,1.625,0.000,0.000,0.002,0.000,0.089,24.451
62,3.646,1.625,0.001,0.000,0.003,0.000,0.002,24.451
63,3.648,1.625,0.001,0.000,0.005,0.000,0.001,24.479
64,3.649,1.625,0.002,0.000,0.007,0.000,0.001,24.479
65,3.650,1.625,0.002,0.000,0.008,0.000,0.001,24.479
66,3.651,1.625,0.003,0.000,0.010,0.000,0.001,24.492
67,3.652,1.625,0.003,0.000,0.012,0.000,0.001,24.492
68,3.653,1.625,0.004,0.000,0.013,0.000,0.001,24.492
69,3.654,1.625,0.004,0.000,0.015,0.000,0.001,24.469
70,3.655,1.625,0.005,0.000,0.016,0.000,0.001,24.469
71,3.656,1.625,0.005,0.000,0.018,0.000,0.001,24.495
72,3.657,1.625,0.005,0.000,0.020,0.000,0.001,24.495
73,3.657,1.625,0.006,0.000,0.021,0.000,0.001,24.495
74,3.658,1.625,0.006,0.000,0.023,0.000,0.001,24.516
75,3.659,1.625,0.007,0.000,0.025,0.000,0.001,24.516
76,3.659,1.625,0.007,0.000,0.026,0.000,0.001,24.516
77,3.660,1.625,0.008,0.000,0.028,0.000,0.001,24.502
78,3.661,1.625,0.008,0.000,0.030,0.000,0.001,24.502
79,3.661,1.625,0.009,0.000,0.031,0.000,0.000,24.502
80,3.662,1.625,0.009,0.000,0.033,0.000,0.001,24.528
81,3.662,1.625,0.009,0.000,0.035,0.000,0.001,24.528
82,3.663,1.625,0.010,0.000,0.036,0.000,0.001,24.528
83,3.663,1.625,0.010,0.000,0.038,0.000,0.000,24.495
84,3.664,1.625,0.011,0.000,0.040,0.000,0.001,24.495
85,3.664,1.625,0.011,0.000,0.041,0.000,0.000,24.495
86,3.665,1.625,0.012,0.000,0.043,0.000,0.001,24.496
87,3.665,1.625,0.012,0.000,0.045,0.000,0.000,24.496
88,3.665,1.625,0.013,0.000,0.046,0.000,0.001,24.509
89,3.666,1.625,0.013,0.000,0.048,0.000,0.001,24.509
90,3.666,1.625,0.014,0.000,0.050,0.000,0.000,24.509
91,3.667,1.625,0.014,0.000,0.051,0.000,0.000,24.488
92,3.667,1.625,0.014,0.000,0.053,0.000,0.000,24.488
93,3.667,1.625,0.015,0.000,0.055,0.000,0.000,24.488
94,3.668,1.625,0.015,0.000,0.056,0.000,0.000,24.491
95,3.668,1.625,0.016,0.000,0.058,0.000,0.000,24.491
96,3.668,1.625,0.016,0.000,0.059,0.000,0.000,24.491
97,3.669,1.625,0.017,0.000,0.061,0.000,0.000,24.488
98,3.669,1.625,0.017,0.000,0.063,0.000,0.000,24.488
