time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.220
2,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.220
3,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.200
4,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.200
5,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.200
6,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.220
7,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.220
8,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.220
9,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.200
10,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.200
11,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.227
12,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.227
13,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.227
14,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.223
15,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.223
16,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.223
17,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.199
18,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.199
19,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.199
20,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.171
21,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.171
22,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.171
23,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.252
24,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.252
25,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.252
26,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.224
27,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.224
28,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.187
29,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.187
30,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.187
31,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.244
32,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.244
33,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.244
34,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.188
35,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.188
36,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.188
37,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.180
38,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.180
39,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.180
40,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.196
41,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.196
42,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.196
43,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
44,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
45,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
46,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.180
47,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.180
48,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
49,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
50,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.215
51,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.222
52,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.222
53,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.222
54,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.229
55,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.229
56,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.229
57,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.225
58,3.291,0.000,0.000,0.000,0.000,0.000,0.000,34.225
59,3.290,0.000,0.000,0.000,0.000,0.000,0.000,34.225
