time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.247
2,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.247
3,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.217
4,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.217
5,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.217
6,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.207
7,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.207
8,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.204
9,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.204
10,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.204
11,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.168
12,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.168
13,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.168
14,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.207
15,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.207
16,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.207
17,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.214
18,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.214
19,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.214
20,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.206
21,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.206
22,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.206
23,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.248
24,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.248
25,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.179
26,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.179
27,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.179
28,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.213
29,3.178,0.000,0.000,0.000,0.000,0.000,0.000,34.213
