time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
2,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
3,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
4,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
5,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
6,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
7,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
8,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
9,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
10,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
11,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
12,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
13,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
14,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
15,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
16,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
17,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
18,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
19,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.958
20,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.958
21,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.979
22,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.979
23,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.979
24,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
25,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
26,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
27,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
28,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
29,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
30,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.980
31,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.980
32,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.980
33,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.978
34,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.978
35,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.978
36,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
37,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
38,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
39,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
40,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
41,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
42,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
43,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
44,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
45,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
46,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
47,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.997
48,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.997
49,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.997
50,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
51,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
52,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
53,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.960
54,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.960
55,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.990
56,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.990
57,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.990
58,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
59,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
60,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
61,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.952
62,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.952
63,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.952
64,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.015
65,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.015
66,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.015
67,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
68,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
69,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
70,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.957
71,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.957
72,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
73,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
74,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
75,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.908
76,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.908
77,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.908
78,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
79,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
80,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
81,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.945
82,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.945
83,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.945
84,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.011
85,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.011
86,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.011
87,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.947
88,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.947
89,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.947
90,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.975
91,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.975
92,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.993
93,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.993
94,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.993
95,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
96,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
97,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.951
98,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.992
99,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.992
100,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.992
101,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
102,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
103,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
104,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.939
105,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.939
106,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.939
107,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.923
108,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.923
109,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.971
110,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.971
111,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.971
112,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.946
113,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.946
114,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.946
115,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
116,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
117,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.937
118,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
119,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
120,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
121,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
122,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
123,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
124,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.928
125,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.928
126,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
127,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
128,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
129,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.936
130,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.936
131,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.936
132,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
133,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
134,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.950
135,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
136,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
137,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.987
138,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
139,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
140,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
141,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.939
142,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.939
143,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.972
144,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.972
145,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.972
146,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
147,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
148,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.986
149,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
150,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
151,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.973
152,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
153,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
154,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.977
155,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
156,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
157,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
158,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
159,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
160,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.948
161,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
162,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.944
163,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.949
164,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.949
165,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.949
166,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.933
167,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.933
168,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.933
169,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
170,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
171,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.963
172,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
173,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
174,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.956
175,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
176,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
177,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
178,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.957
179,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.957
180,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
181,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
182,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.942
183,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
184,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
185,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.962
186,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
187,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
188,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.954
189,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.967
190,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.967
191,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.967
192,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
193,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
194,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
195,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.975
196,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.975
197,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
198,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
199,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.926
200,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.958
201,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.958
202,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.958
203,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
204,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
205,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
206,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.914
207,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.914
208,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.914
209,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.940
210,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.940
211,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.940
212,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.972
213,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.972
214,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.928
215,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.928
216,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.928
217,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
218,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
219,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.931
220,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
221,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
222,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.964
223,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
224,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
225,4.024,0.000,0.000,0.000,0.000,0.000,0.000,10.004
226,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.961
227,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.961
228,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.961
229,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
230,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
231,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.917
232,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.941
233,4.024,0.000,0.000,0.000,0.000,0.000,0.000,9.941
