time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.286
2,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.286
3,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.286
4,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.319
5,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.319
6,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.319
7,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.320
8,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.320
9,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.340
10,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.340
11,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.340
12,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.326
13,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.326
14,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.326
15,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.351
16,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.351
17,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.351
18,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.323
19,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.323
20,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.323
21,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.297
22,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.297
23,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.297
24,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.368
25,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.368
26,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.379
27,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.379
28,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.379
29,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.338
30,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.338
31,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.338
32,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
33,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
34,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
35,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.348
36,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.348
37,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.348
38,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
39,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
40,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.389
41,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.398
42,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.398
43,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.392
44,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.392
45,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.392
46,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.337
47,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.337
48,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.337
49,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.360
50,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.360
51,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.360
52,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.377
53,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.377
54,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.377
55,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.419
56,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.419
57,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.419
58,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.386
59,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.386
60,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.463
61,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.463
62,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.463
63,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.376
64,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.376
65,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.376
66,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.382
67,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.382
68,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.382
69,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.405
70,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.405
71,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.405
72,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.418
73,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.418
74,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.418
75,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.390
76,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.390
77,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.390
78,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.479
79,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.479
80,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.439
81,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.439
82,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.439
83,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.415
84,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.415
85,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.415
86,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.410
87,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.410
88,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.410
89,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.489
90,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.489
91,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.489
92,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.481
93,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.481
94,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.481
95,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.501
96,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.501
97,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
98,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
99,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
100,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
101,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
102,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.472
103,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.455
104,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.455
105,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.455
106,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.522
107,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.522
108,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.522
109,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.485
110,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.485
111,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.485
112,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.458
113,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.458
114,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.492
115,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.492
116,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.492
117,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.507
118,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.507
119,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.507
120,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.520
121,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.520
122,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.520
123,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.502
124,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.502
125,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.502
126,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.547
127,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.547
128,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.547
129,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.533
130,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.533
131,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.511
132,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.511
133,3.442,0.000,0.000,0.000,0.000,0.000,0.000,5.511
