time_s,voltage_v,current_a,chargecapacity_ah,dischargecapacity_ah,charge_energy_wh,discharge_energy_wh,voltagedot_v_per_s,temp_degc
1,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.648
2,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.668
3,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.668
4,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.682
5,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.682
6,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.682
7,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.692
8,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.692
9,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.692
10,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.699
11,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.699
12,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.699
13,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
14,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
15,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
16,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.747
17,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.747
18,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.747
19,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.743
20,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.743
21,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.695
22,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.695
23,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.695
24,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.707
25,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.707
26,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.707
27,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.630
28,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.630
29,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.630
30,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
31,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
32,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.687
33,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.659
34,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.659
35,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.659
36,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.660
37,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.660
38,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.728
39,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.728
40,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.728
41,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.704
42,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.704
43,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.704
44,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.677
45,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.677
46,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.677
47,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.668
48,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.668
49,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.668
50,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.669
51,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.669
52,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.669
53,3.206,0.000,0.000,0.000,0.000,0.000,0.000,33.647
54,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.647
55,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.647
56,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.621
57,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.621
58,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.644
59,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.644
60,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.644
60,3.207,0.000,0.000,0.000,0.000,0.000,0.000,33.644
61,3.379,1.625,0.000,0.000,0.002,0.000,0.172,33.636
62,3.385,1.625,0.001,0.000,0.003,0.000,0.006,33.636
63,3.389,1.625,0.001,0.000,0.005,0.000,0.004,33.636
64,3.392,1.625,0.002,0.000,0.006,0.000,0.003,33.627
65,3.395,1.625,0.002,0.000,0.008,0.000,0.003,33.627
66,3.397,1.625,0.003,0.000,0.009,0.000,0.002,33.627
67,3.399,1.625,0.003,0.000,0.011,0.000,0.002,33.659
68,3.401,1.625,0.004,0.000,0.012,0.000,0.002,33.659
69,3.403,1.625,0.004,0.000,0.014,0.000,0.002,33.659
70,3.405,1.625,0.005,0.000,0.015,0.000,0.002,33.643
71,3.407,1.625,0.005,0.000,0.017,0.000,0.002,33.643
72,3.409,1.625,0.005,0.000,0.018,0.000,0.002,33.643
73,3.411,1.625,0.006,0.000,0.020,0.000,0.002,33.658
74,3.412,1.625,0.006,0.000,0.021,0.000,0.002,33.658
75,3.414,1.625,0.007,0.000,0.023,0.000,0.002,33.597
76,3.416,1.625,0.007,0.000,0.025,0.000,0.002,33.597
77,3.417,1.625,0.008,0.000,0.026,0.000,0.002,33.597
78,3.419,1.625,0.008,0.000,0.028,0.000,0.001,33.633
79,3.420,1.625,0.009,0.000,0.029,0.000,0.001,33.633
80,3.422,1.625,0.009,0.000,0.031,0.000,0.002,33.633
81,3.423,1.625,0.009,0.000,0.032,0.000,0.001,33.640
82,3.425,1.625,0.010,0.000,0.034,0.000,0.002,33.640
83,3.426,1.625,0.010,0.000,0.035,0.000,0.002,33.640
84,3.428,1.625,0.011,0.000,0.037,0.000,0.001,33.580
85,3.429,1.625,0.011,0.000,0.038,0.000,0.001,33.580
86,3.430,1.625,0.012,0.000,0.040,0.000,0.001,33.580
87,3.432,1.625,0.012,0.000,0.042,0.000,0.001,33.597
88,3.433,1.625,0.013,0.000,0.043,0.000,0.001,33.597
89,3.434,1.625,0.013,0.000,0.045,0.000,0.001,33.597
90,3.436,1.625,0.014,0.000,0.046,0.000,0.001,33.612
91,3.437,1.625,0.014,0.000,0.048,0.000,0.001,33.612
92,3.438,1.625,0.014,0.000,0.049,0.000,0.001,33.648
93,3.439,1.625,0.015,0.000,0.051,0.000,0.001,33.648
94,3.441,1.625,0.015,0.000,0.052,0.000,0.001,33.648
95,3.442,1.625,0.016,0.000,0.054,0.000,0.001,33.647
96,3.443,1.625,0.016,0.000,0.056,0.000,0.001,33.647
97,3.444,1.625,0.017,0.000,0.057,0.000,0.001,33.647
98,3.445,1.625,0.017,0.000,0.059,0.000,0.001,33.646
99,3.446,1.625,0.018,0.000,0.060,0.000,0.001,33.646
100,3.448,1.625,0.018,0.000,0.062,0.000,0.001,33.646
101,3.449,1.625,0.019,0.000,0.063,0.000,0.001,33.610
